id,title,ingredients,url
000018c8a5,Worlds Best Mac and Cheese,6 ounces penne,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,2 cups Beechers Flagship Cheese Sauce (recipe follows),http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,"1 ounce Cheddar, grated (1/4 cup)",http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,"1 ounce Gruyere cheese, grated (1/4 cup)",http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,1/4 to 1/2 teaspoon chipotle chili powder (see Note),http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,1/4 cup (1/2 stick) unsalted butter,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,1/3 cup all-purpose flour,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,3 cups milk,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,"14 ounces semihard cheese (page 23), grated (about 3 1/2 cups)",http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,"2 ounces semisoft cheese (page 23), grated (1/2 cup)",http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,1/2 teaspoon kosher salt,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,1/4 to 1/2 teaspoon chipotle chili powder,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,1/8 teaspoon garlic powder,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
000018c8a5,Worlds Best Mac and Cheese,(makes about 4 cups),http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747
64d0ea2b33,Glazed Medallions With Mushrooms,34 cup Diana Original Sauce,http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,2 tablespoons fresh lemon juice,http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,"4 garlic cloves, minced",http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,"3 green onions, thinly sliced",http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,1 teaspoon crumbled dried rosemary,http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,"1 12 lbs mushrooms, assorted (such as button, cremini, portobello, shiitake or oyster)",http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,"1 sweet onion, cut into wedges",http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,salt and pepper,http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,2 tablespoons butter,http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0ea2b33,Glazed Medallions With Mushrooms,"1 12 lbs beef, strip loin grilling medallions 1-inch thick (about 6)",http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984
64d0f8b061,All-American Roast Beef Panini,3 tablespoons mayonnaise,http://www.food.com/recipe/all-american-roast-beef-panini-476999
64d0f8b061,All-American Roast Beef Panini,1 tablespoon sour cream,http://www.food.com/recipe/all-american-roast-beef-panini-476999
64d0f8b061,All-American Roast Beef Panini,1 tablespoon prepared horseradish,http://www.food.com/recipe/all-american-roast-beef-panini-476999
64d0f8b061,All-American Roast Beef Panini,1 tablespoon chopped fresh marjoram,http://www.food.com/recipe/all-american-roast-beef-panini-476999
