id,instruction_number,instruction
000018c8a5,1,Preheat the oven to 350 F. Butter or oil an 8-inch baking dish.
000018c8a5,2,Cook the penne 2 minutes less than package directions.
000018c8a5,3,(It will finish cooking in the oven.)
000018c8a5,4,Rinse the pasta in cold water and set aside.
000018c8a5,5,Combine the cooked pasta and the sauce in a medium bowl and mix carefully but thoroughly.
000018c8a5,6,Scrape the pasta into the prepared baking dish.
000018c8a5,7,Sprinkle the top with the cheeses and then the chili powder.
000018c8a5,8,"Bake, uncovered, for 20 minutes."
000018c8a5,9,Let the mac and cheese sit for 5 minutes before serving.
000018c8a5,10,Melt the butter in a heavy-bottomed saucepan over medium heat and whisk in the flour.
000018c8a5,11,Continue whisking and cooking for 2 minutes.
000018c8a5,12,"Slowly add the milk, whisking constantly."
000018c8a5,13,"Cook until the sauce thickens, about 10 minutes, stirring frequently."
000018c8a5,14,Remove from the heat.
000018c8a5,15,"Add the cheeses, salt, chili powder, and garlic powder."
000018c8a5,16,"Stir until the cheese is melted and all ingredients are incorporated, about 3 minutes."
000018c8a5,17,"Use immediately, or refrigerate for up to 3 days."
000018c8a5,18,This sauce reheats nicely on the stove in a saucepan over low heat.
000018c8a5,19,Stir frequently so the sauce doesnt scorch.
000018c8a5,20,This recipe can be assembled before baking and frozen for up to 3 monthsjust be sure to use a freezer-to-oven pan and increase the baking time to 50 minutes.
000018c8a5,21,"One-half teaspoon of chipotle chili powder makes a spicy mac, so make sure your family and friends can handle it!"
000018c8a5,22,The proportion of pasta to cheese sauce is crucial to the success of the dish.
000018c8a5,23,"It will look like a lot of sauce for the pasta, but some of the liquid will be absorbed."
64d0ea2b33,1,"Combine Diana sauce, lemon juice, green onions and rosemary in bowl."
64d0ea2b33,2,Remove 1/4 for basting.
64d0ea2b33,3,"Cut mushrooms into large chunks, keeping oyster mushrooms whole."
64d0ea2b33,4,"Toss with onion, and salt and pepper to taste."
64d0ea2b33,5,Pan-fry in butter in nonstick skillet over medium heat for about 12 minutes or until slightly caramelized and liquid has evaporated.
64d0ea2b33,6,Stir in Diana sauce mixture; heat through.
64d0ea2b33,7,Meanwhile season medallions with salt and pepper to taste.
64d0ea2b33,8,"Grill over medium-high heat for 5-6 minutes per side for medium -rare, brushing with reserved sauce occasionally."
64d0ea2b33,9,Let stand for 5 minutes.
64d0ea2b33,10,Serve each topped with pan-fried mushrooms.
64d0f8b061,1,"In a small bowl, stir together the mayo, sour cream, horseradish, and marjoram; let stand for about 10 minutes at room temperature to allow the flavors to blend (alternatively, cover and refrigerate for up to 6 hours, if refrigerating, return to room temperature before using)."
64d0f8b061,2,Preheat sandwich grill.
64d0f8b061,3,"Place the bread slices, cut sides down, on a work surface and spread 1 side of each bread slice with the butter."
64d0f8b061,4,Turn and spread the unbuttered sides of the bread with the mayonnaise mixture.
64d0f8b061,5,"On each of 2 bread slices, mayo sides up, arrange half of the roast beef."
64d0f8b061,6,Season liberally with salt and pepper.
64d0f8b061,7,Divide the cheese and watercress on top.
64d0f8b061,8,"Cover with the remaining 2 bread slices, mayo sides down, and press gently to pack."
64d0f8b061,9,"Place the panini in the grill, close the top plate, and cook until the bread is golden and toasted, the meat is warmed through, and the watercress is nearly wilted, 3-5 minutes."
64d0f8b061,10,Cut each sandwich in half on the diagonal and serve right away.
64d126d243,1,"Marinate beef in soy sauce, curry, sesame oil, cornstarch and sugar 30 minutes."
