id,title,url,calories,fat_cals,total_fat,saturated_fat,cholesterol,sodium,total_carbohydrates,fiber,sugar,protein,serving_size,servings_per_recipe,fat_per100g,salt_per100g,saturates_per100g,sugar_per100g
000018c8a5,Worlds Best Mac and Cheese,http://www.epicurious.com/recipes/food/views/-world-s-best-mac-and-cheese-387747,329.9,10.0,1.2,0.5,0.0024,0.0938,68.5,4.1,3.9,10.5,935,1,0.1283422459893048,0.010032085561497326,0.053475935828877004,0.41711229946524064
64d0ea2b33,Glazed Medallions With Mushrooms,http://www.food.com/recipe/glazed-medallions-with-mushrooms-372984,838.4,762.0,84.8,35.9,0.1225,0.0714,7.1,1.8,3.4,13.4,264,6,32.121212121212125,0.027045454545454546,13.598484848484848,1.2878787878787878
64d0f8b061,All-American Roast Beef Panini,http://www.food.com/recipe/all-american-roast-beef-panini-476999,789.5,271.0,30.2,12.0,0.125,1.122,79.1,3.3,5.6,51.3,293,2,10.30716723549488,0.3829351535836178,4.09556313993174,1.911262798634812
64d126d243,Curried Beef With Onions,http://www.food.com/recipe/curried-beef-with-onions-368398,382.3,344.0,38.2,12.7,0.0375,0.5408999999999999,5.9,0.8,2.4,4.2,104,6,36.73076923076923,0.5200961538461538,12.211538461538462,2.3076923076923075
64d15361cf,Spicy Sausage Vodka Cream Sauce,http://www.food.com/recipe/spicy-sausage-vodka-cream-sauce-302683,629.9,246.0,27.4,9.3,0.046,0.5867,74.5,11.4,1.2,15.0,233,6,11.759656652360514,0.25180257510729614,3.9914163090128763,0.5150214592274678
64d17b8c52,Kickin' Blue Cheese Prime Rib Sauce,http://www.food.com/recipe/kickin-blue-cheese-prime-rib-sauce-109561,121.2,99.0,11.1,6.9,0.033,0.17809999999999998,3.5,0.5,1.8,2.8,53,4,20.943396226415093,0.33603773584905655,13.018867924528301,3.3962264150943398
64d17f6002,Nan's Best Dark Fruitcake:,http://www.food.com/recipe/nans-best-dark-fruitcake-3962,179.9,56.0,6.2,1.4,0.0254,0.0621,28.4,1.3,19.9,2.2,51,50,12.156862745098039,0.12176470588235294,2.7450980392156863,39.01960784313725
64d1bf4477,Zucchini (Zoo) Sticks,http://www.food.com/recipe/zucchini-zoo-sticks-518562,529.3,267.0,29.7,9.3,0.1288,0.8842000000000001,48.8,3.7,7.4,17.4,177,4,16.779661016949152,0.4995480225988701,5.254237288135593,4.1807909604519775
64d1c1de26,Homestyle Meatloaf,http://www.food.com/recipe/homestyle-meatloaf-409056,269.6,126.0,14.0,5.9,0.1057,0.9665,8.0,0.3,4.2,26.7,164,8,8.536585365853659,0.589329268292683,3.5975609756097566,2.5609756097560976
64d213612d,"Potato, Leek & Feta Patties",http://www.food.com/recipe/potato-leek-feta-patties-277382,80.6,30.0,3.3,2.3,0.0134,0.2021,10.0,1.4,2.8,3.2,75,4,4.3999999999999995,0.2694666666666667,3.0666666666666664,3.733333333333333
