id,tags
000018c8a5,60-minutes-or-less
000018c8a5,cuisine
000018c8a5,healthy
000018c8a5,pancakes-and-waffles
000018c8a5,breakfast
000018c8a5,lunch
000018c8a5,potatoes
000018c8a5,vegetables
000018c8a5,european
000018c8a5,low-fat
000018c8a5,irish
000018c8a5,stove-top
000018c8a5,low-sodium
000018c8a5,low-cholesterol
000018c8a5,sandwiches
000018c8a5,low-saturated-fat
000018c8a5,healthy-2
000018c8a5,from-scratch
64d0ea2b33,30-minutes-or-less
64d0ea2b33,beef
64d0ea2b33,vegetables
64d0ea2b33,barbecue
64d0ea2b33,easy
64d0ea2b33,mushrooms
64d0ea2b33,meat
64d0ea2b33,steak
64d0ea2b33,grilling
64d0ea2b33,3-steps-or-less
64d0f8b061,60-minutes-or-less
64d0f8b061,for-1-or-2
64d0f8b061,lunch
64d0f8b061,main-dish
64d0f8b061,beef
64d0f8b061,sandwiches
64d0f8b061,meat
64d0f8b061,number-of-servings
64d126d243,60-minutes-or-less
64d126d243,cuisine
64d126d243,main-dish
64d126d243,beef
64d126d243,asian
64d126d243,chinese
64d126d243,low-carb
64d126d243,meat
64d15361cf,cuisine
64d15361cf,occasion
64d15361cf,main-dish
64d15361cf,pasta
64d15361cf,pork
64d15361cf,european
64d15361cf,dinner-party
64d15361cf,holiday-event
64d15361cf,italian
64d15361cf,spicy
64d15361cf,comfort-food
64d15361cf,meat
64d15361cf,pork-sausage
64d15361cf,pasta-rice-and-grains
64d15361cf,penne
64d15361cf,taste-mood
64d15361cf,4-hours-or-less
64d17b8c52,15-minutes-or-less
64d17b8c52,condiments-etc
64d17b8c52,easy
64d17b8c52,low-carb
64d17b8c52,3-steps-or-less
64d17f6002,occasion
64d17f6002,for-large-groups
64d17f6002,desserts
64d17f6002,fruit
64d17f6002,oven
64d17f6002,holiday-event
64d17f6002,cakes
64d17f6002,christmas
64d17f6002,number-of-servings
64d17f6002,4-hours-or-less
64d1bf4477,30-minutes-or-less
64d1bf4477,kid-friendly
64d1bf4477,vegetarian
64d1bf4477,inexpensive
64d1c1de26,weeknight
64d1c1de26,cuisine
64d1c1de26,occasion
64d1c1de26,north-american
64d1c1de26,casseroles
64d1c1de26,main-dish
64d1c1de26,beef
64d1c1de26,oven
64d1c1de26,kid-friendly
64d1c1de26,comfort-food
64d1c1de26,high-protein
64d1c1de26,low-carb
64d1c1de26,ground-beef
64d1c1de26,high-in-something
64d1c1de26,meat
64d1c1de26,taste-mood
64d1c1de26,presentation
64d1c1de26,served-hot
64d1c1de26,4-hours-or-less
64d213612d,60-minutes-or-less
64d213612d,occasion
64d213612d,yams-sweet-potatoes
64d213612d,appetizers
64d213612d,lunch
64d213612d,snacks
64d213612d,eggs-dairy
64d213612d,potatoes
64d213612d,vegetables
64d213612d,vegetarian
64d213612d,cheese
64d213612d,low-calorie
64d213612d,brunch
64d28f6d99,15-minutes-or-less
64d28f6d99,lunch
64d28f6d99,poultry
64d28f6d99,chicken
64d28f6d99,sandwiches
64d28f6d99,meat
64d2916348,60-minutes-or-less
64d2916348,healthy
64d2916348,main-dish
64d2916348,low-fat
64d2916348,stove-top
64d2916348,low-cholesterol
64d2916348,low-saturated-fat
64d2916348,healthy-2
64d2bf0dcb,15-minutes-or-less
64d2bf0dcb,cuisine
64d2bf0dcb,north-american
64d2bf0dcb,low-protein
64d2bf0dcb,condiments-etc
64d2bf0dcb,eggs-dairy
64d2bf0dcb,easy
64d2bf0dcb,no-cook
64d2bf0dcb,diabetic
64d2bf0dcb,herb-and-spice-mixes
64d2bf0dcb,freezer
64d2bf0dcb,low-carb
64d2bf0dcb,cooking-mixes
64d2bf0dcb,number-of-servings
64d2e0f7fa,weeknight
64d2e0f7fa,30-minutes-or-less
64d2e0f7fa,occasion
64d2e0f7fa,healthy
64d2e0f7fa,side-dishes
64d2e0f7fa,eggs-dairy
64d2e0f7fa,vegetables
64d2e0f7fa,easy
64d2e0f7fa,kid-friendly
64d2e0f7fa,low-cholesterol
64d2e0f7fa,low-saturated-fat
64d2e0f7fa,comfort-food
64d2e0f7fa,inexpensive
64d2e0f7fa,healthy-2
64d2e0f7fa,toddler-friendly
64d2e0f7fa,broccoli
64d2e0f7fa,taste-mood
64d32c273f,15-minutes-or-less
64d32c273f,cuisine
64d32c273f,north-american
64d32c273f,for-1-or-2
64d32c273f,5-ingredients-or-less
64d32c273f,beverages
64d32c273f,caribbean
64d32c273f,easy
64d32c273f,central-american
64d32c273f,beginner-cook
64d32c273f,vegan
64d32c273f,vegetarian
64d32c273f,cocktails
64d32c273f,cuban
64d32c273f,number-of-servings
64d32c273f,3-steps-or-less
64d35b5d2c,30-minutes-or-less
64d35b5d2c,occasion
64d35b5d2c,5-ingredients-or-less
64d35b5d2c,appetizers
64d35b5d2c,eggs-dairy
64d35b5d2c,easy
64d35b5d2c,dips
64d35b5d2c,cheese
64d35b5d2c,low-carb
64d3724048,occasion
64d3724048,desserts
64d3724048,cakes
64d3724048,chocolate
64d3724048,copycat
64d3724048,low-sodium
64d3724048,4-hours-or-less
64d3782e29,60-minutes-or-less
64d3b3f1f9,60-minutes-or-less
64d3b3f1f9,casseroles
64d3b3f1f9,main-dish
64d3b3f1f9,eggs-dairy
64d3b3f1f9,oven
64d3b3f1f9,vegetarian
64d3b3f1f9,one-dish-meal
64d3c585eb,cuisine
64d3c585eb,south-african
64d3c585eb,main-dish
64d3c585eb,lamb-sheep
64d3c585eb,african
64d3c585eb,stews
64d3c585eb,meat
64d3c585eb,4-hours-or-less
64d3d08a23,30-minutes-or-less
64d3d08a23,cuisine
64d3d08a23,occasion
64d3d08a23,lunch
64d3d08a23,main-dish
64d3d08a23,easy
64d3d08a23,european
64d3d08a23,beginner-cook
64d3d08a23,kid-friendly
64d3d08a23,italian
64d3d08a23,sandwiches
64d3d08a23,comfort-food
64d3d08a23,toddler-friendly
64d3d08a23,taste-mood
64d3d08a23,savory
64d3f23bdb,30-minutes-or-less
64d3f23bdb,cuisine
64d3f23bdb,occasion
64d3f23bdb,healthy
64d3f23bdb,main-dish
64d3f23bdb,beans
64d3f23bdb,eggs-dairy
64d3f23bdb,pasta
64d3f23bdb,vegetables
64d3f23bdb,easy
64d3f23bdb,european
64d3f23bdb,beginner-cook
64d3f23bdb,dinner-party
64d3f23bdb,italian
64d3f23bdb,cheese
64d3f23bdb,one-dish-meal
64d3f23bdb,low-sodium
64d3f23bdb,low-cholesterol
64d3f23bdb,comfort-food
64d3f23bdb,healthy-2
64d3f23bdb,pasta-rice-and-grains
64d3f23bdb,ravioli-tortellini
64d3f23bdb,greens
64d3f23bdb,spinach
64d3f23bdb,onions
64d3f23bdb,tomatoes
64d3f23bdb,taste-mood
64d41499b5,15-minutes-or-less
64d41499b5,for-1-or-2
64d41499b5,5-ingredients-or-less
64d41499b5,beverages
64d41499b5,easy
64d41499b5,cocktails
64d41499b5,number-of-servings
64d41499b5,3-steps-or-less
64d4354d0e,60-minutes-or-less
64d4354d0e,for-large-groups
64d4354d0e,breads
64d4354d0e,breakfast
64d4354d0e,muffins
64d4354d0e,quick-breads
64d4354d0e,number-of-servings
64d44b55b0,main-dish
64d44b55b0,beef
64d44b55b0,ground-beef
64d44b55b0,meat
64d44b55b0,4-hours-or-less
64d4766e30,15-minutes-or-less
64d4766e30,occasion
64d4766e30,for-1-or-2
64d4766e30,easy
64d4766e30,taste-mood
64d4766e30,number-of-servings
64d4766e30,3-steps-or-less
64d48672f6,60-minutes-or-less
64d48672f6,breads
64d48672f6,low-sodium
64d48672f6,quick-breads
64d487ff90,15-minutes-or-less
64d487ff90,low-protein
64d487ff90,5-ingredients-or-less
64d487ff90,sauces
64d487ff90,condiments-etc
64d487ff90,easy
64d487ff90,low-sodium
64d487ff90,sweet-sauces
64d49ace32,weeknight
64d49ace32,cuisine
64d49ace32,occasion
64d49ace32,salads
64d49ace32,poultry
64d49ace32,vegetables
64d49ace32,asian
64d49ace32,chicken
64d49ace32,meat
64d49ace32,chicken-breasts
64d49ace32,greens
64d49ace32,lettuces
64d49ace32,4-hours-or-less
64d4b7aa4a,60-minutes-or-less
64d4b7aa4a,occasion
64d4b7aa4a,main-dish
64d4b7aa4a,pasta
64d4b7aa4a,fall
64d4b7aa4a,seasonal
64d4b7aa4a,pasta-rice-and-grains
64d4b7aa4a,penne
64d4c87b2a,occasion
64d4c87b2a,5-ingredients-or-less
64d4c87b2a,breakfast
64d4c87b2a,main-dish
64d4c87b2a,beef
64d4c87b2a,easy
64d4c87b2a,stove-top
64d4c87b2a,comfort-food
64d4c87b2a,inexpensive
64d4c87b2a,meat
64d4c87b2a,brunch
64d4c87b2a,taste-mood
64d4c87b2a,4-hours-or-less
64d4d6e802,60-minutes-or-less
64d4d6e802,appetizers
64d4d6e802,main-dish
64d4d6e802,eggs-dairy
64d4d6e802,seafood
64d4d6e802,oven
64d4d6e802,barbecue
64d4d6e802,shrimp
64d4d6e802,crab
64d4d6e802,cheese
64d4d6e802,stove-top
64d4d6e802,shellfish
64d4d6e802,grilling
64d500584f,cuisine
64d500584f,main-dish
64d500584f,poultry
64d500584f,french
64d500584f,1-day-or-more
64d500584f,european
64d500584f,chicken
64d500584f,crock-pot-slow-cooker
64d500584f,meat
64d516eb38,30-minutes-or-less
64d516eb38,main-dish
64d516eb38,pasta
64d516eb38,pasta-rice-and-grains
64d5629c1c,60-minutes-or-less
64d5629c1c,cuisine
64d5629c1c,occasion
64d5629c1c,north-american
64d5629c1c,main-dish
64d5629c1c,side-dishes
64d5629c1c,eggs-dairy
64d5629c1c,pasta
64d5629c1c,american
64d5629c1c,oven
64d5629c1c,cheese
64d5629c1c,one-dish-meal
64d5629c1c,comfort-food
64d5629c1c,pasta-rice-and-grains
64d5629c1c,pasta-shells
64d5629c1c,brunch
64d5629c1c,taste-mood
64d57fc480,15-minutes-or-less
64d57fc480,cuisine
64d57fc480,occasion
64d57fc480,condiments-etc
64d57fc480,asian
64d57fc480,indian
64d57fc480,easy
64d57fc480,beginner-cook
64d57fc480,vegan
64d57fc480,vegetarian
64d57fc480,herb-and-spice-mixes
64d57fc480,gifts
64d57fc480,spicy
64d57fc480,low-sodium
64d57fc480,high-calcium
64d57fc480,high-fiber
64d57fc480,cooking-mixes
64d57fc480,high-in-something
64d57fc480,taste-mood
64d57fc480,3-steps-or-less
64d58e7c51,condiments-etc
64d58e7c51,beans
64d58e7c51,easy
64d58e7c51,vegan
64d58e7c51,vegetarian
64d58e7c51,food-processor-blender
64d58e7c51,soy-tofu
64d58e7c51,small-appliance
64d58e7c51,4-hours-or-less
64d5a61162,60-minutes-or-less
64d5a61162,main-dish
64d5a61162,poultry
64d5a61162,easy
64d5a61162,kid-friendly
64d5a61162,chicken
64d5a61162,meat
64d5a61162,3-steps-or-less
64d5aadbf2,60-minutes-or-less
64d5aadbf2,casseroles
64d5aadbf2,main-dish
64d5aadbf2,pasta
64d5aadbf2,poultry
64d5aadbf2,oven
64d5aadbf2,chicken
64d5aadbf2,one-dish-meal
64d5aadbf2,oamc-freezer-make-ahead
64d5aadbf2,meat
64d5aadbf2,chicken-breasts
64d5aadbf2,pasta-rice-and-grains
64d5aadbf2,spaghetti
64d5aadbf2,number-of-servings
64d5d0f674,occasion
64d5d0f674,for-1-or-2
64d5d0f674,side-dishes
64d5d0f674,vegetables
64d5d0f674,vegetarian
64d5d0f674,gluten-free
64d5d0f674,free-of-something
64d5d0f674,greens
64d5d0f674,taste-mood
64d5d0f674,savory
64d5d0f674,number-of-servings
64d5d0f674,4-hours-or-less
64d5d2b6af,30-minutes-or-less
64d5d2b6af,occasion
64d5d2b6af,hand-formed-cookies
64d5d2b6af,desserts
64d5d2b6af,easy
